"archiveID","pageNum","numPage","vName","vSciName","conf","sciName","date","locality","country","stateProvince","island","idQualifier","county","occStatus","habitat","assCollTaxa","assColl","locationRemarks","vTaxonRank","vElevM","vLat","vLon","vUTM","vCoordUncM","numPlantsCode","orgQuantity","orgQtype","occRemarks","phenology","recordedBy","idBy","dataEntryRemarks","index"
7,1,1,"Artemisia suksdorfii","Artemisia suksdorfii","h","Artemisia suksdorfii",19810528,"North Pender Island; log dump beach with navy channel","Canada","British Columbia","North Pender Island",NA,"Southern Gulf Islands",NA,"beach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
7,1,2,"Poa annua","Poa annua","h","Poa annua",19810528,"Prevost Island; at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
7,1,3,"Lolium perenne","Lolium perenne","h","Lolium perenne",19810528,"Prevost Island; at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
7,1,4,"Plantago lanceolata","Plantago lanceolata","h","Plantago lanceolata",19810528,"Prevost Island; at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
7,1,5,"Bromus mollis","Bromus mollis","h","Bromus hordeaceus",19810528,"Prevost Island; at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
7,1,6,"Bromus tectorum","Bromus tectorum","h","Bromus tectorum",19810528,"Prevost Island; at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
7,1,7,"Vicia sativa","Vicia sativa","h","Vicia sativa",19810528,"Prevost Island; at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
7,1,8,"Poa pratensis","Poa pratensis","h","Poa pratensis",19810528,"Prevost Island; at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
7,1,9,"Rumex acetosella","Rumex acetosella","h","Rumex acetosella",19810528,"Prevost Island; at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
7,1,10,"Festuca megalura","Festuca megalura","m","Vulpia myuros megalura",19810528,"Prevost Island; at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
7,1,11,"Arbutus menziesii","Arbutus menziesii","h","Arbutus menziesii",19810528,"Prevost Island; at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
7,1,12,"Lotus corniculatus","Lotus corniculatus","h","Lotus corniculatus",19810528,"Prevost Island; at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
7,1,13,"Trifolium dubium","Trifolium dubium","h","Trifolium dubium",19810528,"Prevost Island; at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
7,1,14,"Trifolium repens","Trifolium repens","h","Trifolium repens",19810528,"Prevost Island; at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
7,1,15,"Trifolium subterraneum","Trifolium subterraneum","h","Trifolium subterraneum",19810528,"Prevost Island; at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
